dataset,task,family,rows,features,signature,best_model,best,first_model,first,top4,boosting,tuned,tabpfn,eligible_mean,eligible_worst,best_ruled_out,best_ruled_out_model,ruled_out_why,n_eligible,n_ruled_out,regret_first,regret_top4,regret_boosting,regret_eligible_mean
balance_scale,classification,balance_scale,625,4,A11 A21 A32 A41 A51 A61,NN2,1.0,TR3,0.5938,0.6915,0.6599,0.7563,0.9919,0.666,0.5485,0.6839,PR1,needs A31 data (yours is A32),13,4,0.4062,0.3085,0.3401,0.334
banana,classification,banana,5000,2,A11 A21 A31 A41 A51 A61,NN2,0.899,TR3,0.8893,0.8938,0.8931,0.8991,,0.7748,0.5219,,,,17,0,0.0097,0.0052,0.0058,0.1241
biomed,classification,biomed,209,8,A11 A21 A38 A41 A51 A61,EN4,0.9016,TR3,0.8888,0.9016,0.8905,0.8926,0.8704,0.8597,0.7974,,,,17,0,0.0127,0.0,0.0111,0.0418
breast_cancer,classification,breast_cancer,286,9,A11 A21 A38 A41 A51 A61,TR2,0.6376,TR3,0.6275,0.6376,0.5962,0.61,0.607,0.6086,0.5722,,,,17,0,0.0101,0.0,0.0415,0.0291
breast_cancer_wisconsin_diagnostic,classification,breast_cancer_wisconsin_diagnostic,569,30,A11 A21 A31 A41 A51 A61,LM2,0.9746,TR3,0.9637,0.9637,0.96,0.9698,0.9817,0.9581,0.9232,,,,17,0,0.0109,0.0109,0.0146,0.0165
breast_cancer_wisconsin_original,classification,breast_cancer_wisconsin_original,699,9,A11 A21 A31 A41 A51 A62,IB1,0.9672,TR3,0.9629,0.9661,0.9557,0.9536,0.9661,0.9561,0.9262,,,,17,0,0.0043,0.0011,0.0116,0.0111
bupa,classification,bupa,345,5,A11 A21 A31 A41 A51 A61,DR4,0.6364,TR3,0.5858,0.5858,0.5998,0.5803,0.6188,0.5926,0.5022,,,,17,0,0.0506,0.0506,0.0366,0.0438
calendarDOW,classification,calendarDOW,399,32,A11 A21 A38 A41 A51 A61,DR4,0.6138,TR3,0.5726,0.5884,0.5815,0.57,,0.5758,0.5147,,,,17,0,0.0412,0.0254,0.0323,0.038
car_evaluation,classification,car_evaluation,1728,6,A11 A21 A32 A41 A51 A61,EN4,0.987,TR3,0.9049,0.987,0.9793,0.9838,,0.8248,0.5048,0.8628,PR1,needs A31 data (yours is A32),13,4,0.0821,0.0,0.0077,0.1622
cars,classification,cars,392,8,A11 A21 A38 A41 A51 A61,BASE-HGB,0.9701,TR3,0.872,0.9508,0.9701,0.9411,0.8014,0.784,0.6491,,,,17,0,0.0981,0.0193,0.0,0.1861
chess,classification,chess_krkp,3196,36,A11 A21 A32 A41 A51 A61,BASE-HGB,0.9959,TR3,0.992,0.9953,0.9959,0.9962,,0.9778,0.9406,0.9648,LM2,needs A31 data (yours is A32),13,4,0.0039,0.0006,0.0,0.0181
