dataset,task,family,best,ceiling,current,prior,prior_fit,prior_knn,boosting,tuned,current_model,prior_model,prior_fit_model,prior_knn_model,boosting_model,tuned_model
kr_vs_kp,classification,kr_vs_kp,0.9953,0.9953,0.9953,0.993,0.9927,0.993,0.9927,0.9931,TR1,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
led24,classification,led24,0.7297,0.7297,0.5789,0.6942,0.7127,0.6942,0.6979,0.71,TR1,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
led7,classification,led7,0.7337,0.7337,0.7248,0.7282,0.7282,0.7282,0.7238,0.7272,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
letter,classification,letter,0.9324,0.9324,0.7596,0.9144,0.9324,0.9144,0.9169,0.9163,LM2,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
magic,classification,magic,0.8427,0.8427,0.7472,0.8408,0.8408,0.8408,0.8378,0.8417,LM2,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
mfeat_fourier,classification,mfeat_fourier,0.8445,0.846,0.816,0.8445,0.8325,0.8405,0.846,0.838,LM2,EN4,TR3,EN6,BASE-HGB,BASE-HGB-TUNED
mfeat_karhunen,classification,mfeat_karhunen,0.9755,0.9755,0.946,0.963,0.96,0.97,0.959,0.9635,LM2,EN4,NN2,EN6,BASE-HGB,BASE-HGB-TUNED
mfeat_morphological,classification,mfeat_morphological,0.761,0.761,0.653,0.6865,0.6865,0.6865,0.6955,0.696,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
mfeat_zernike,classification,mfeat_zernike,0.8798,0.8798,0.8205,0.7917,0.789,0.7917,0.7912,0.797,LM2,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
mofn_3_7_10,classification,mofn_3_7_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TR1,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
monk1,classification,monk1,1.0,1.0,0.9389,1.0,1.0,1.0,1.0,1.0,TR1,EN4,EN4,NN2,BASE-HGB,BASE-HGB-TUNED
monk2,classification,monk2,1.0,1.0,0.9752,0.8789,0.8789,1.0,0.9194,0.9814,TR1,EN4,EN4,NN2,BASE-HGB,BASE-HGB-TUNED
monk3,classification,monk3,0.9888,0.9888,0.9697,0.9766,0.9766,0.9766,0.9766,0.9819,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
movement_libras,classification,movement_libras,0.854,0.854,0.7482,0.7647,0.7647,0.7647,0.7664,0.7833,LM2,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
mushroom,classification,mushroom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TR1,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
new_thyroid,classification,new_thyroid,0.9416,0.9416,0.8857,0.907,0.9203,0.907,0.8981,0.8959,LM2,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
nikuradse_1,regression,nikuradse_1,0.9986,0.9986,0.6478,0.9967,0.9986,0.9986,0.9937,0.9972,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
