dataset,rep,scenario,checker,sees,fired,statistic,seconds
allbp,2,correlation,DR-M2,features,0,0.089022,0.0055
allbp,2,correlation,DR-M3,features,0,0.025735,0.0202
allbp,2,correlation,DR-M4,features,0,0.055281,0.0823
allbp,2,correlation,DR-M5,features,0,0.015962,0.0054
allbp,2,correlation,DR-M6,features,0,0.189213,0.0569
allbp,2,correlation,DR-M7,features,0,0.016598,0.0185
allbp,2,correlation,DR-M8,errors,1,0.018,0.0001
allbp,2,correlation,DR-M10,joint,0,0.005662,0.1197
allbp,2,correlation,DR-M12,features,0,0.018221,1.4111
allbp,2,correlation,DR-M13,features,0,0.002319,0.0123
allbp,2,correlation,DR-M14,joint,0,0.052828,0.1113
allbp,2,correlation,DR-C1,errors,0,,0.0008
allbp,2,correlation,DR-C2,errors,0,,0.0003
allbp,2,correlation,DR-C3,errors,0,,0.0008
allbp,2,correlation,DR-C4,errors,0,,0.0005
allbp,2,correlation,DR-C5,errors,0,,0.3961
allbp,2,correlation,DR-C6,errors,0,,0.0228
allbp,2,correlation,DR-C7,errors,0,,0.0072
allbp,2,correlation,DR-C9,errors,0,,0.0005
allbp,2,correlation,DR-MV1,joint,0,30.247679,0.001
allbp,2,correlation,DR-MV2,joint,0,0.04,0.0028
allbp,2,correlation,DR-CV1,joint,1,0.72836,0.9098
allbp,2,selection,DR-M1,features,1,0.0,0.0172
allbp,2,selection,DR-M2,features,1,0.329915,0.0046
allbp,2,selection,DR-M3,features,1,0.0,0.0194
allbp,2,selection,DR-M4,features,1,0.16746,0.0848
allbp,2,selection,DR-M5,features,0,0.05836,0.0057
allbp,2,selection,DR-M6,features,1,0.549706,0.0541
allbp,2,selection,DR-M7,features,1,0.0,0.0181
allbp,2,selection,DR-M8,errors,0,-0.002,0.0001
allbp,2,selection,DR-M10,joint,1,0.013829,0.1163
allbp,2,selection,DR-M12,features,1,0.0,1.201
allbp,2,selection,DR-M13,features,1,0.0,0.0079
allbp,2,selection,DR-M14,joint,1,0.132034,0.1099
allbp,2,selection,DR-C1,errors,0,,0.0007
allbp,2,selection,DR-C2,errors,0,,0.0003
allbp,2,selection,DR-C3,errors,0,,0.0006
allbp,2,selection,DR-C4,errors,0,,0.0003
allbp,2,selection,DR-C5,errors,0,,0.3792
allbp,2,selection,DR-C6,errors,0,,0.0204
allbp,2,selection,DR-C7,errors,0,,0.007
allbp,2,selection,DR-C9,errors,0,,0.0004
allbp,2,selection,DR-MV1,joint,1,73.183625,0.0009
allbp,2,selection,DR-MV2,joint,0,0.06,0.0029
allbp,2,selection,DR-CV1,joint,0,0.59518,1.0336
allbp,2,label_shift,DR-M1,features,0,0.025539,0.0171
allbp,2,label_shift,DR-M2,features,0,0.129411,0.0045
allbp,2,label_shift,DR-M3,features,0,0.01189,0.0212
allbp,2,label_shift,DR-M4,features,0,0.065146,0.0918
allbp,2,label_shift,DR-M5,features,0,0.023137,0.0058
allbp,2,label_shift,DR-M6,features,0,0.225647,0.0544
allbp,2,label_shift,DR-M7,features,0,0.018872,0.0182
allbp,2,label_shift,DR-M8,errors,1,0.018,0.0
allbp,2,label_shift,DR-M10,joint,0,0.004118,0.1147
allbp,2,label_shift,DR-M12,features,0,0.032484,1.2004
allbp,2,label_shift,DR-M13,features,1,0.001634,0.0082
allbp,2,label_shift,DR-M14,joint,0,0.044198,0.1108
allbp,2,label_shift,DR-C1,errors,1,152.0,0.0011
allbp,2,label_shift,DR-C2,errors,0,,0.0006
allbp,2,label_shift,DR-C3,errors,0,,0.0012
allbp,2,label_shift,DR-C4,errors,0,,0.0006
allbp,2,label_shift,DR-C5,errors,0,,0.4545
allbp,2,label_shift,DR-C6,errors,0,,0.02
allbp,2,label_shift,DR-C7,errors,0,,0.0076
allbp,2,label_shift,DR-C9,errors,0,,0.0005
allbp,2,label_shift,DR-MV1,joint,0,31.026435,0.001
allbp,2,label_shift,DR-MV2,joint,0,0.064,0.0029
allbp,2,label_shift,DR-CV1,joint,0,0.5397,0.8855
allbp,2,concept,DR-M1,features,0,0.258351,0.0175
allbp,2,concept,DR-M2,features,0,0.079782,0.0047
allbp,2,concept,DR-M3,features,0,0.124727,0.024
allbp,2,concept,DR-M4,features,0,0.042152,0.0965
allbp,2,concept,DR-M5,features,0,0.014167,0.0056
allbp,2,concept,DR-M6,features,0,0.140988,0.0542
allbp,2,concept,DR-M7,features,0,0.085965,0.0189
allbp,2,concept,DR-M8,errors,1,0.134,0.0001
allbp,2,concept,DR-M10,joint,0,0.003054,0.1219
allbp,2,concept,DR-M12,features,0,0.09945,1.1501
allbp,2,concept,DR-M13,features,0,0.028881,0.0089
allbp,2,concept,DR-M14,joint,0,0.032386,0.1138
allbp,2,concept,DR-C1,errors,1,17.0,0.0005
allbp,2,concept,DR-C2,errors,1,138.0,0.0002
allbp,2,concept,DR-C3,errors,0,,0.0007
allbp,2,concept,DR-C4,errors,1,203.0,0.0004
allbp,2,concept,DR-C5,errors,0,,0.4749
allbp,2,concept,DR-C6,errors,0,,0.0182
allbp,2,concept,DR-C7,errors,0,,0.0082
allbp,2,concept,DR-C9,errors,0,,0.0005
allbp,2,concept,DR-MV1,joint,0,19.533998,0.0012
allbp,2,concept,DR-MV2,joint,0,0.032,0.003
allbp,2,concept,DR-CV1,joint,0,0.46628,0.9144
allbp,3,none,DR-M1,features,0,0.116626,0.0173
allbp,3,none,DR-M2,features,0,0.082154,0.005
allbp,3,none,DR-M3,features,0,0.054384,0.0216
