dataset,task,condition,best_column,best_score,flags,caught
strogatz_vdp2,regression,leak_1,x,1.0,leak:x;leak:extra,1
strogatz_vdp2,regression,leak_5,x,1.0,leak:x,0
strogatz_vdp2,regression,id_run,x,1.0,id:extra;leak:x,1
strogatz_vdp2,regression,id_code,x,1.0,id:extra;leak:x,1
strogatz_vdp2,regression,copies_2,x,1.0,leak:x;duplicates:,1
texture,classification,clean,A29,0.4349,,
threeOf9,classification,clean,F3,0.6531,,
tic_tac_toe,classification,clean,t5,0.6709,,
tic_tac_toe,classification,leak,extra,1.0,leak:extra,1
tic_tac_toe,classification,leak_1,extra,0.9871,,0
tic_tac_toe,classification,leak_5,extra,0.9489,,0
tic_tac_toe,classification,id_run,t5,0.6709,id:extra,1
tic_tac_toe,classification,id_code,t5,0.6709,id:extra,1
tic_tac_toe,classification,copies_2,t5,0.6686,,0
titanic,classification,clean,gender,0.709,duplicates:,
tokyo1,classification,clean,io_wcancel,0.8928,,
twonorm,classification,clean,A4,0.6853,,
vehicle,classification,clean,PR AXISRECTANGULAR,0.5281,,
vowel,classification,clean,Feature 1,0.3505,,
waveform_21,classification,clean,X07,0.5573,,
waveform_40,classification,clean,X06,0.5748,,
wine_quality_red,classification,clean,alcohol,0.232,duplicates:,
wine_quality_white,classification,clean,alcohol,0.1943,duplicates:,
xd6,classification,clean,Attribute 1,0.5,,
yeast,classification,clean,mcg,0.2064,duplicates:,
yeast,classification,leak,extra,1.0,leak:extra;duplicates:,1
yeast,classification,leak_1,extra,0.9931,leak:extra;duplicates:,1
yeast,classification,leak_5,extra,0.9457,duplicates:,0
yeast,classification,id_run,mcg,0.2064,id:extra,1
yeast,classification,id_code,mcg,0.2064,id:extra,1
yeast,classification,copies_2,gvh,0.2027,duplicates:,1
